picture;target;target_color;expected;display_size;condition
images/card_001.png;T;green;positive;1;conjunction
images/card_002.png;T;green;positive;1;conjunction
images/card_009.png;T;green;positive;5;conjunction
images/card_010.png;T;green;positive;5;conjunction
images/card_017.png;T;green;positive;15;conjunction
images/card_018.png;T;green;positive;15;conjunction
images/card_025.png;T;green;positive;30;conjunction
images/card_026.png;T;green;positive;30;conjunction
images/card_065.png;-;-;negative;1;conjunction
images/card_066.png;-;-;negative;1;conjunction
images/card_073.png;-;-;negative;5;conjunction
images/card_074.png;-;-;negative;5;conjunction
images/card_081.png;-;-;negative;15;conjunction
images/card_082.png;-;-;negative;15;conjunction
images/card_089.png;-;-;negative;30;conjunction
images/card_090.png;-;-;negative;30;conjunction
images/card_003.png;T;green;positive;1;conjunction
images/card_004.png;T;green;positive;1;conjunction
images/card_011.png;T;green;positive;5;conjunction
images/card_012.png;T;green;positive;5;conjunction
images/card_019.png;T;green;positive;15;conjunction
images/card_020.png;T;green;positive;15;conjunction
images/card_027.png;T;green;positive;30;conjunction
images/card_028.png;T;green;positive;30;conjunction
images/card_067.png;-;-;negative;1;conjunction
images/card_068.png;-;-;negative;1;conjunction
images/card_075.png;-;-;negative;5;conjunction
images/card_076.png;-;;negative;5;conjunction
images/card_083.png;-;-;negative;15;conjunction
images/card_084.png;-;-;negative;15;conjunction
images/card_091.png;-;-;negative;30;conjunction
images/card_092.png;-;-;negative;30;conjunction
